subject,condition,studyResp,named,whichItem,trial
2,1,3,1,11,274
2,0,2,1,84,275
2,2,3,1,49,276
2,3,3,1,38,277
2,0,3,1,119,278
2,2,3,1,53,279
2,0,3,1,86,280
2,2,3,1,8,281
2,1,3,1,88,282
2,2,3,1,21,283
2,1,3,1,42,284
2,3,3,1,22,285
2,1,3,1,17,286
2,3,3,1,63,287
2,1,3,1,94,288
2,3,3,1,113,289
2,2,3,1,93,290
2,0,3,1,33,291
2,1,3,1,115,292
2,0,3,1,87,293
2,3,3,1,59,294
2,3,3,1,32,295
2,1,3,1,15,296
2,1,3,1,91,297
2,0,3,1,68,298
2,2,3,1,19,299
2,0,3,1,20,300
2,3,3,1,81,301
2,0,3,1,110,302
2,2,3,1,79,303
2,3,3,1,111,304
2,1,1,0,28,305
2,3,3,1,69,306
2,3,3,1,106,307
2,2,3,1,2,308
2,2,3,1,77,309
2,1,3,1,30,310
2,0,3,1,56,311
2,3,3,1,6,312
2,0,3,1,61,313
2,1,3,1,31,314
2,2,3,1,100,315
2,2,3,1,72,316
2,2,3,1,7,317
2,2,3,1,66,318
2,0,3,1,73,319
2,2,3,1,89,320
2,2,3,1,109,321
2,3,3,1,70,322
2,1,3,1,92,323
2,2,3,1,117,324
2,1,3,1,46,325
2,1,3,1,55,326
2,1,3,1,60,327
2,2,3,1,52,328
2,3,3,1,98,329
2,2,3,1,64,330
2,2,3,1,47,331
2,0,3,1,57,332
2,2,3,1,12,333
2,1,3,1,105,334
2,0,3,1,54,335
2,0,3,1,26,336
2,3,3,1,16,337
2,0,3,1,39,338
2,1,3,1,71,339
2,3,3,1,9,340
2,1,3,1,27,341
2,3,3,1,14,342
2,2,3,1,50,343
2,0,3,1,80,344
2,3,3,1,44,345
2,2,3,1,95,346
2,1,3,1,75,347
2,1,3,1,10,348
2,3,3,1,1,349
2,0,3,1,41,350
2,0,3,1,74,351
2,2,3,1,23,352
2,2,3,1,103,353
2,3,3,1,48,354
2,3,3,1,24,355
2,3,3,1,76,356
2,3,3,1,40,357
2,0,3,1,67,358
2,0,3,1,90,359
2,3,3,1,13,360
