subject,condition,studyResp,studyResp2,named,afc,whichItem,trial
2,4,3,3,1,1,148,171
2,2,3,NaN,1,0,179,172
2,1,99999,99999,0,0,110,173
2,3,0,0,0,1,56,174
2,1,99999,99999,0,1,171,175
2,2,3,3,0,1,28,176
2,2,3,3,0,0,73,177
2,4,2,2,1,1,29,178
2,4,3,3,0,1,66,179
2,1,99999,99999,0,1,141,180
2,4,3,3,1,0,70,181
2,3,0,0,0,0,46,182
2,3,2,2,1,1,38,183
2,3,1,0,1,1,165,184
2,2,0,NaN,0,1,134,185
2,3,2,1,0,0,4,186
2,4,1,3,0,0,42,187
2,1,99999,99999,0,1,176,188
2,4,3,3,1,0,194,189
2,1,99999,99999,1,1,92,190
2,2,3,NaN,1,1,44,191
2,4,3,3,1,1,109,192
2,1,99999,99999,1,1,69,193
2,1,99999,99999,0,1,174,194
2,4,3,3,1,1,181,195
2,3,1,0,0,0,139,196
2,1,99999,99999,1,1,95,197
2,3,0,1,0,1,64,198
2,3,1,1,0,0,40,199
2,4,3,3,1,1,186,200
3,4,3,3,0,1,194,1
3,2,3,3,0,1,17,2
3,3,1,2,0,0,162,3
3,3,2,2,0,1,178,4
3,3,1,1,1,1,177,5
3,3,1,1,1,1,35,6
3,2,3,3,1,1,133,7
3,3,1,1,0,1,18,8
3,2,3,3,1,1,142,9
3,2,3,3,0,1,139,10
3,2,3,3,0,1,87,11
3,3,1,2,0,0,120,12
3,3,2,2,0,1,137,13
3,2,3,3,0,0,141,14
3,4,2,3,1,1,26,15
3,1,99999,99999,1,1,182,16
3,2,3,3,1,1,181,17
3,2,3,3,0,0,152,18
3,3,1,1,0,1,161,19
3,1,99999,99999,0,1,150,20
3,4,3,3,1,1,31,21
3,3,2,2,0,1,23,22
3,4,3,3,0,1,159,23
3,1,99999,99999,0,1,176,24
3,3,0,1,0,0,83,25
3,4,3,3,0,1,187,26
3,2,3,3,0,0,132,27
3,2,3,3,0,0,179,28
3,1,99999,99999,0,0,129,29
3,1,99999,99999,0,1,126,30
3,3,2,1,0,1,189,31
3,2,3,3,0,1,102,32
3,4,3,3,1,0,60,33
3,1,99999,99999,0,1,66,34
3,3,2,2,0,1,186,35
3,4,3,3,0,1,146,36
3,4,2,3,0,1,111,37
3,3,1,2,1,1,54,38
3,1,99999,99999,0,0,98,39
3,1,99999,99999,0,1,70,40
3,2,3,3,0,0,1,41
3,2,3,NaN,1,1,138,42
3,2,3,3,0,0,174,43
3,3,1,1,0,1,103,44
3,2,3,3,0,1,105,45
3,2,3,3,1,1,122,46
3,4,3,3,1,1,37,47
3,4,3,3,0,1,119,48
3,1,99999,99999,1,1,140,49
3,1,99999,99999,0,1,143,50
3,4,2,3,0,1,175,51
3,3,2,1,0,1,85,52
3,2,3,1,0,0,128,53
3,3,2,2,0,0,107,54
3,2,3,3,0,1,41,55
3,3,1,2,0,1,193,56
3,1,99999,99999,0,1,154,57
3,1,99999,99999,0,1,56,58
3,1,99999,99999,1,1,131,59
3,3,1,2,0,1,118,60
3,2,3,NaN,0,1,53,61
