subject,condition,studyResp,named,whichItem,trial
3,1,1,1,131,157
3,2,1,1,45,158
3,1,1,1,60,159
3,1,1,0,25,160
3,4,2,1,92,161
3,2,2,1,128,162
3,4,2,1,14,163
3,1,2,0,38,164
3,1,1,1,156,165
3,2,1,1,113,166
3,3,2,1,75,167
3,2,3,1,171,168
3,2,2,1,192,169
3,2,3,1,139,170
3,2,2,0,115,171
3,1,1,1,78,172
3,2,1,0,190,173
3,3,1,0,23,174
3,1,1,0,48,175
3,4,2,0,154,176
3,3,3,1,172,177
3,1,1,1,188,178
3,2,1,0,39,179
3,3,1,0,174,180
3,3,1,0,152,181
3,4,1,1,197,182
3,1,1,0,109,183
3,4,3,1,32,184
3,1,1,0,165,185
3,3,1,1,17,186
3,4,3,1,121,187
3,4,2,1,149,188
3,3,1,0,146,189
3,1,1,0,159,190
3,3,1,0,18,191
3,2,3,1,97,192
3,1,1,1,43,193
3,3,1,0,141,194
3,1,1,0,93,195
3,4,1,0,72,196
3,3,1,0,52,197
3,2,2,0,142,198
3,2,1,1,2,199
3,1,1,1,42,200
4,4,2,0,107,1
4,1,2,0,15,2
4,2,1,0,199,3
4,1,1,0,144,4
4,4,2,0,5,5
4,2,1,1,29,6
4,2,2,0,51,7
4,4,3,0,114,8
4,4,2,0,3,9
4,2,2,0,150,10
4,1,1,0,99,11
4,4,0,0,44,12
4,1,0,0,46,13
4,2,2,0,153,14
4,3,2,0,17,15
4,2,1,0,168,16
4,2,2,0,2,17
4,3,3,0,38,18
4,4,2,0,126,19
4,1,2,0,88,20
4,2,3,1,112,21
4,1,3,1,12,22
4,4,3,1,123,23
4,3,2,0,85,24
4,2,2,0,120,25
4,3,1,0,68,26
4,1,1,0,53,27
4,4,2,1,170,28
4,2,1,0,41,29
4,1,1,1,192,30
4,3,3,1,124,31
4,1,1,0,155,32
4,3,2,0,93,33
4,2,1,0,96,34
4,4,2,0,164,35
4,3,3,0,22,36
4,4,2,0,54,37
4,3,2,0,113,38
4,4,1,1,25,39
4,4,1,0,118,40
4,1,1,0,40,41
4,2,2,0,59,42
4,3,3,0,86,43
4,2,2,0,109,44
4,2,1,1,47,45
4,1,2,0,75,46
4,3,1,0,55,47
4,3,3,0,185,48
4,1,1,0,63,49
4,1,0,0,181,50
4,4,2,0,193,51
4,3,2,0,67,52
4,4,2,0,174,53
4,4,2,0,24,54
4,2,1,0,42,55
4,2,3,0,79,56
4,4,3,1,133,57
4,3,2,0,62,58
4,1,1,0,81,59
4,1,1,0,117,60
4,2,3,1,151,61
4,1,1,0,156,62
4,4,0,0,195,63
4,3,0,0,148,64
4,4,1,0,6,65
4,4,2,0,159,66
4,2,1,0,65,67
4,1,2,0,100,68
4,4,2,0,19,69
4,3,2,0,136,70
4,2,2,0,179,71
4,4,2,0,45,72
4,1,2,0,56,73
4,2,2,0,26,74
4,4,0,0,116,75
4,3,2,0,14,76
4,3,2,1,48,77
4,4,2,0,158,78
4,4,2,1,183,79
4,3,3,0,130,80
4,3,2,0,125,81
4,4,3,0,189,82
4,3,1,0,89,83
4,3,2,0,10,84
4,3,0,0,61,85
4,1,2,0,82,86
4,4,2,0,163,87
4,2,1,0,182,88
4,3,2,0,95,89
4,3,2,0,127,90
4,1,2,0,139,91
4,2,0,0,52,92
4,3,3,1,176,93
4,3,2,0,21,94
4,2,2,0,1,95
4,1,2,0,141,96
4,3,3,1,97,97
4,2,2,0,66,98
4,1,1,1,166,99
4,1,1,0,175,100
4,2,0,0,173,101
4,3,2,0,103,102
4,2,3,0,119,103
4,4,2,0,83,104
4,4,3,0,58,105
4,1,2,0,20,106
4,1,1,0,18,107
4,3,2,0,152,108
4,4,3,0,178,109
4,3,2,0,91,110
4,2,1,0,72,111
4,4,1,0,13,112
4,3,2,0,90,113
4,3,2,0,11,114
4,4,1,0,131,115
4,1,1,0,147,116
4,2,2,0,87,117
4,1,2,0,84,118
4,1,1,0,162,119
4,4,0,0,33,120
4,4,2,1,78,121
4,2,2,0,198,122
4,4,1,0,146,123
4,4,2,0,200,124
4,2,1,0,92,125
4,1,0,0,108,126
4,4,2,0,104,127
4,2,1,0,34,128
4,1,1,0,4,129
4,4,1,0,190,130
4,4,2,0,161,131
4,1,2,0,169,132
4,4,2,0,35,133
4,1,2,0,7,134
4,1,1,0,145,135
4,2,2,0,30,136
4,1,1,1,167,137
4,1,1,0,128,138
4,2,0,1,8,139
4,1,1,0,102,140
4,2,2,0,39,141
4,3,0,0,76,142
4,2,1,0,27,143
4,1,1,0,197,144
4,2,2,0,184,145
4,1,2,0,187,146
4,1,1,0,140,147
4,2,2,0,165,148
4,2,1,0,98,149
4,3,2,0,111,150
4,2,3,0,154,151
4,2,2,0,9,152
4,1,1,0,71,153
4,3,2,0,43,154
4,3,3,0,64,155
4,1,2,0,134,156
4,4,2,0,105,157
4,4,0,0,31,158
4,3,1,0,101,159
4,2,2,0,74,160
4,3,3,1,69,161
4,4,1,0,49,162
4,2,0,0,143,163
4,2,0,0,36,164
4,1,1,0,73,165
4,2,1,1,157,166
4,2,2,1,138,167
4,1,2,0,142,168
4,4,1,0,180,169
4,3,1,0,172,170
4,1,1,0,60,171
4,3,2,0,188,172
4,3,3,0,196,173
4,3,0,0,50,174
4,2,1,0,177,175
4,1,1,0,129,176
4,1,0,1,57,177
4,3,1,0,28,178
4,4,2,0,80,179
4,4,0,0,115,180
4,2,2,0,132,181
4,1,1,0,186,182
4,4,2,0,70,183
4,3,2,0,191,184
4,1,1,0,16,185
4,3,0,0,171,186
4,3,2,0,149,187
4,3,1,0,37,188
4,4,2,0,160,189
4,4,3,0,32,190
4,4,2,0,137,191
4,4,1,0,122,192
4,3,1,0,110,193
4,1,1,0,23,194
4,1,0,0,106,195
4,2,2,0,94,196
4,3,1,0,77,197
4,3,2,0,121,198
4,2,2,0,135,199
4,2,2,0,194,200
5,4,0,0,150,1
5,2,0,0,4,2
5,1,0,0,140,3
5,2,0,0,185,4
5,2,0,0,64,5
5,4,1,0,124,6
5,1,0,0,147,7
5,4,0,0,194,8
5,2,0,1,198,9
5,3,0,0,47,10
5,2,0,1,79,11
5,4,0,0,167,12
5,4,2,1,78,13
5,3,2,1,74,14
5,2,1,1,44,15
5,3,1,0,66,16
5,2,0,1,192,17
5,3,0,0,55,18
5,1,1,0,70,19
5,2,0,1,134,20
5,1,0,0,122,21
